Case_Number,Project_tech_ID,YK,Project_name,Business_names,Protype_names,Hardware_names,Duration,Size_ep99_proj,Worksup,SituCoeff,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,InpTot,InpFP,InqTot,InqFP,OutTot,OutFP,IntTot,IntFP,EntTot,EntFP,AlgTot,AlgFP,AllTot,AllFP_ep20
284,3944,M,PN358,B,N,M,48,1619,17745,70,4,3,4,3,3,3,4,3,3,3,4,2,3,2,2,3,2,5,4,3,5,75,354,83,255,44,289,8,59,47,455,0,0,257,1412
285,3954,M,PN359,B,N,M,0,1229,0,152,4,3,3,3,3,3,3,3,2,2,1,3,3,2,2,1,4,2,3,3,3,76,407,87,275,53,245,7,33,24,187,0,0,247,1147
286,3964,M,PN360,B,N,M,5,402,592,79,3,4,3,3,3,3,2,2,4,4,3,3,1,3,5,4,3,3,4,3,3,6,48,0,0,0,0,27,187,15,115,0,0,48,350
287,4464,M,PN361,B,N,M,13,906,4278,86,4,3,3,3,3,3,3,2,4,4,4,2,5,2,3,3,4,3,1,3,4,71,294,35,140,15,75,0,0,35,265,3,12,159,786
288,4474,M,PN362,B,N,M,19,442,5574,108,4,3,3,3,3,3,3,4,2,2,3,4,3,2,3,1,3,3,3,3,4,14,112,12,63,30,128,7,62,12,48,0,0,75,413
289,4484,M,PN363,B,N,N,7,228,2352,114,3,3,2,3,3,3,3,3,3,3,3,4,5,3,3,3,3,2,2,3,3,16,45,33,111,2,10,1,5,9,38,0,0,61,209
290,4494,M,PN364,B,N,N,6,221,1960,119,3,3,3,3,3,3,3,3,1,1,2,5,4,3,3,3,3,3,3,3,3,17,95,12,43,6,35,4,14,4,20,1,4,44,211
291,4834,M,PN365,B,N,M,2,45,180,100,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,8,0,0,0,0,4,37,0,0,0,0,8,45
292,2004,M,PN366,B,O,M,4,293,1240,86,2,3,2,3,3,3,3,3,3,3,4,3,1,3,3,4,3,4,4,3,3,2,20,21,21,72,205,16,42,1,2,3,3,115,293
293,2014,M,PN367,B,O,M,6,205,1230,92,2,3,3,2,3,3,3,3,2,2,3,3,3,4,3,3,3,4,4,4,4,0,0,2,6,0,0,6,75,4,28,24,96,36,205
294,2176,M,PN368,B,N,C,6,461,4320,132,3,3,3,3,3,3,3,1,2,3,3,3,3,3,3,3,3,3,3,3,3,23,63,3,9,0,0,25,155,0,0,0,0,51,227
295,2175,M,PN368,B,N,C,6,461,4320,132,3,3,3,3,3,3,3,1,2,3,3,3,3,3,3,3,3,3,3,3,3,15,62,12,42,6,30,16,100,0,0,0,0,49,234
296,4794,M,PN369,B,N,M,8,149,1140,119,2,3,2,2,4,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,13,69,0,0,0,0,10,80,0,0,0,0,23,149
297,4956,M,PN370,B,N,C,9,336,4125,234,3,1,2,3,3,1,2,1,3,2,3,5,4,1,3,4,3,2,1,3,3,17,51,0,0,0,0,17,119,1,7,0,0,35,177
298,4955,M,PN370,B,N,C,9,336,4125,234,3,1,2,3,3,1,2,1,3,2,3,5,4,1,3,4,3,2,1,3,3,20,62,14,42,0,0,17,55,0,0,0,0,51,159
299,3894,I,PN371,B,N,M,15,667,3821,96,4,3,4,3,3,3,3,3,2,2,2,3,4,2,1,1,4,4,5,3,4,22,70,60,148,43,258,5,28,18,113,0,0,148,617
300,3904,I,PN372,P,N,I,26,1035,4713,55,5,4,4,3,3,4,4,4,3,3,2,2,5,3,3,3,4,5,1,3,4,39,207,54,151,15,91,0,0,43,397,0,0,151,846
301,3914,I,PN373,P,N,M,42,1056,8700,93,4,3,3,3,3,3,3,3,3,3,2,2,4,2,2,2,4,3,4,3,5,63,227,74,163,30,134,2,12,42,354,0,0,211,890
302,3924,I,PN374,P,N,M,31,1598,8095,72,4,3,4,3,3,3,3,3,3,3,2,2,5,3,3,2,3,4,5,3,4,82,409,97,282,21,148,0,0,46,529,0,0,246,1368
303,4314,I,PN375,A,P,A,19,1925,14074,158,3,4,2,2,3,2,3,4,2,3,2,2,2,2,2,4,3,2,2,3,4,228,1017,190,471,21,62,10,63,52,312,0,0,501,1925
304,4524,I,PN376,A,P,A,12,835,4042,78,4,4,4,3,3,2,4,4,4,4,2,2,5,3,1,3,2,3,2,4,4,69,255,97,363,0,0,0,0,37,217,0,0,203,835
305,4534,I,PN377,A,P,A,9,744,2042,43,4,4,4,4,3,4,4,5,5,4,3,3,3,3,3,2,4,2,4,4,3,46,182,115,506,0,0,0,0,10,56,0,0,171,744
306,4544,I,PN378,P,N,C,14,915,3100,0,4,4,4,4,3,4,4,5,5,4,3,3,3,3,3,2,4,2,4,4,3,68,241,74,339,15,77,0,0,37,258,0,0,194,915
307,4184,R,PN379,W,N,P,22,745,2613,379,4,3,4,3,3,5,2,1,1,1,2,3,1,1,3,1,2,1,1,3,2,82,165,18,36,46,144,26,88,28,172,16,52,216,657
308,4194,R,PN380,M,N,M,22,1005,7950,121,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,2,3,3,3,3,3,49,244,49,198,20,75,8,48,25,222,36,120,187,907
309,4204,R,PN381,M,N,M,30,969,9830,147,3,3,2,3,3,3,3,3,2,2,3,3,3,3,3,2,3,3,2,3,3,38,205,6,19,37,199,9,81,26,293,22,52,138,849
310,4214,R,PN382,M,N,M,26,917,6880,162,3,3,2,3,3,3,3,3,2,2,3,2,2,3,3,2,3,3,2,3,3,30,144,17,25,32,197,13,109,33,274,25,50,150,799
311,2324,S,PN383,I,N,N,38,1722,9470,119,4,2,2,3,3,3,3,2,4,3,3,3,3,3,3,3,3,3,2,3,4,102,356,102,476,66,334,21,119,72,411,3,26,366,1722
312,3194,S,PN384,I,N,M,42,2155,21123,140,4,2,3,3,3,3,3,3,3,3,2,2,2,3,3,2,3,2,3,3,3,78,371,61,193,64,431,18,165,56,599,35,116,312,1875
313,3974,S,PN385,I,N,M,32,1347,23000,268,3,2,3,3,3,3,3,3,2,2,2,2,2,4,2,2,2,2,1,3,1,18,96,26,123,36,210,13,83,59,578,0,0,152,1090
314,3984,S,PN386,I,N,M,38,983,17031,213,4,2,4,3,3,4,3,2,3,3,3,2,3,2,3,3,2,1,1,3,2,10,60,5,26,26,87,6,60,50,500,0,0,97,733
315,3994,S,PN387,I,N,M,35,1719,17200,367,3,2,3,3,3,3,3,3,2,2,2,1,1,4,1,2,1,1,1,3,1,74,290,33,110,36,170,27,249,60,600,0,0,230,1419
316,4004,S,PN388,I,N,M,34,1148,10850,218,3,3,2,3,3,3,2,3,1,1,4,2,4,4,3,2,2,2,2,3,1,112,270,7,32,18,74,2,4,53,515,0,0,192,895
317,4014,S,PN389,I,N,M,54,1049,18900,126,2,3,3,3,3,4,2,2,3,3,2,4,2,3,3,3,2,3,3,3,4,77,258,62,152,132,479,14,81,12,50,0,0,297,1020
318,4024,S,PN390,I,N,M,60,755,14568,164,5,4,2,3,3,5,2,3,3,3,2,3,3,2,4,3,2,1,2,3,2,31,142,26,130,33,174,10,85,20,154,0,0,120,685
319,4034,S,PN391,I,N,M,12,189,780,107,4,3,2,3,3,3,3,4,2,2,3,4,5,2,2,3,3,3,3,3,3,10,24,20,52,5,25,0,0,10,62,0,0,45,163
320,4054,S,PN392,I,N,M,33,1849,11788,128,2,4,3,3,3,3,3,3,3,3,3,2,4,3,3,4,2,1,2,3,3,129,592,171,434,0,0,2,14,59,548,0,0,361,1588
321,4064,S,PN393,I,N,M,31,1127,11500,130,3,2,4,3,3,4,3,3,2,2,3,1,3,3,4,5,2,3,2,3,2,46,194,30,96,0,0,6,50,64,532,2,8,148,880
322,4074,S,PN394,I,N,M,8,365,3020,73,2,3,3,3,3,3,3,3,2,2,5,3,5,4,5,5,3,1,2,3,4,13,37,16,43,19,96,1,2,17,119,6,16,72,313
323,4354,S,PN395,I,N,M,35,1894,24788,153,3,2,3,3,3,3,3,3,3,3,3,1,2,2,2,1,3,3,4,3,3,116,435,36,123,6,26,25,224,75,726,0,0,258,1534
324,4454,S,PN396,I,N,M,25,926,11750,77,5,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,2,3,24,200,16,67,20,100,20,198,31,246,36,115,147,926
325,4894,S,PN397,I,N,P,5,157,1920,86,4,3,2,2,3,1,4,4,4,4,4,4,5,2,5,5,2,2,1,1,3,10,69,6,18,4,24,1,2,6,28,16,16,43,157
326,1294,AC,PN398,M,N,N,5,695,3000,137,2,3,2,2,3,4,3,3,3,2,2,2,2,1,3,2,4,5,1,3,5,20,87,13,68,3,12,21,119,42,345,10,54,109,685
327,1304,AC,PN399,M,N,N,5,376,686,87,3,3,2,4,3,3,2,3,3,2,2,5,5,2,3,3,4,4,2,4,4,59,207,23,115,0,0,0,0,0,0,10,54,92,376
328,1424,AC,PN400,M,D,N,1,91,147,55,4,3,3,3,3,3,2,3,5,4,3,5,4,3,3,3,4,3,3,4,3,11,25,0,0,0,0,4,37,2,4,4,25,21,91
329,1484,AC,PN401,M,N,N,6,100,374,81,3,3,3,3,3,3,3,3,3,3,3,5,5,3,3,3,3,3,3,3,3,13,28,6,17,2,8,1,7,6,36,1,4,29,100
330,1494,AC,PN402,M,N,N,8,358,3064,144,3,3,3,3,3,3,3,2,3,3,2,2,5,1,3,3,3,3,2,3,3,3,24,12,64,0,0,0,0,45,270,0,0,60,358
331,1504,AC,PN403,M,N,N,5,147,362,114,3,3,3,3,3,2,2,2,3,3,3,4,5,3,3,3,3,3,2,3,3,35,69,7,13,2,16,0,0,10,49,0,0,54,147
332,1514,AC,PN404,M,N,N,5,80,144,81,3,3,3,3,3,3,3,3,3,3,3,5,5,3,3,3,3,3,3,3,3,12,36,1,1,0,0,0,0,6,43,0,0,19,80
333,1524,AC,PN405,M,N,N,19,351,1469,120,3,3,3,3,3,2,2,2,3,3,3,3,5,3,3,3,3,3,2,3,3,64,143,11,27,1,11,1,13,23,157,0,0,100,351
334,1534,AC,PN406,M,N,N,14,900,2791,126,3,3,3,3,3,2,2,2,3,3,3,2,5,3,3,3,3,3,2,3,3,130,339,63,123,41,107,1,13,56,318,0,0,291,900
335,1544,AC,PN407,M,N,N,29,345,4683,132,3,3,3,2,2,3,3,2,3,3,1,3,5,3,3,3,3,3,2,3,3,37,138,15,52,1,7,0,0,16,128,2,20,71,345
336,1554,AC,PN408,M,N,N,17,561,2409,120,3,3,3,3,3,2,2,2,3,3,3,3,5,3,3,3,3,3,2,3,3,41,182,37,163,1,7,0,0,24,195,2,14,105,561
337,1564,AC,PN409,M,N,N,10,54,445,89,3,3,3,3,3,3,3,3,3,3,1,5,5,3,3,3,3,3,3,3,3,3,9,16,30,1,5,0,0,2,10,0,0,22,54
338,1574,AC,PN410,M,N,N,6,71,207,89,3,3,3,3,3,3,3,3,3,3,3,5,5,3,3,3,3,3,2,3,3,0,0,12,22,11,49,0,0,0,0,0,0,23,71
339,1584,AC,PN411,M,N,N,11,231,750,94,3,3,3,3,3,3,3,3,3,3,3,4,5,3,3,3,3,3,2,3,3,18,81,13,49,0,0,0,0,11,101,0,0,42,231
340,1594,AC,PN412,M,N,N,36,602,4202,114,3,3,3,3,2,3,3,2,3,3,3,3,5,3,3,3,3,3,2,3,3,44,191,22,85,0,0,0,0,19,149,168,177,253,602
341,1604,AC,PN413,M,N,N,32,459,3876,120,3,3,3,3,2,3,3,2,3,3,3,2,5,3,3,3,3,3,2,3,3,5,25,19,77,7,39,0,0,36,257,16,61,83,459
342,1614,AC,PN414,M,N,N,12,82,465,89,3,3,3,3,3,3,3,3,3,3,3,5,5,3,3,3,3,3,2,3,3,0,0,13,27,13,55,0,0,0,0,0,0,26,82
343,1624,AC,PN415,M,N,N,15,636,2207,99,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,2,3,3,98,333,41,123,0,0,0,0,25,180,0,0,164,636
344,1634,AC,PN416,M,N,N,4,27,55,81,3,3,3,3,3,3,3,3,3,3,3,5,5,3,3,3,3,3,3,3,3,3,12,1,3,0,0,0,0,2,12,0,0,6,27
345,1644,AC,PN417,M,N,N,9,229,340,90,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,27,87,10,26,4,16,0,0,16,100,0,0,57,229
346,2694,AC,PN418,A,P,A,6,157,426,114,4,3,2,3,2,3,4,4,3,3,3,3,3,3,3,3,2,2,3,3,3,8,17,37,63,7,14,0,0,2,18,41,45,95,157
347,3024,AC,PN419,M,N,N,18,1292,2141,60,4,5,5,3,3,3,2,3,2,2,2,2,5,3,2,4,3,4,4,4,4,60,224,120,386,61,317,2,20,53,327,18,18,314,1292
348,4384,AC,PN420,M,P,N,3,65,398,85,3,3,4,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,6,21,6,15,1,11,0,0,2,17,1,1,16,65
349,4414,AC,PN421,A,N,A,13,863,4280,168,3,2,2,4,2,2,2,3,3,3,3,3,4,4,3,3,3,2,2,2,2,49,178,202,402,14,75,3,11,29,172,19,25,316,863
350,4574,AC,PN422,M,D,N,8,182,1233,48,5,2,3,3,3,3,4,4,3,4,3,5,3,3,3,4,4,4,4,4,3,12,24,1,4,10,28,8,49,3,17,17,57,51,179
351,1474,Y,PN423,I,O,M,3,107,441,64,2,3,1,4,3,3,4,4,3,3,4,4,5,4,1,3,2,5,5,3,3,2,7,8,16,3,8,0,0,26,74,2,2,41,107
352,2234,Y,PN424,I,N,M,6,316,1392,94,3,2,3,3,3,3,3,3,3,3,3,5,4,3,3,3,3,3,3,3,3,21,150,9,50,2,8,5,40,5,53,0,0,42,301
353,2244,Y,PN425,I,N,M,4,214,1665,109,3,3,3,1,3,3,3,3,2,3,3,5,3,3,3,3,3,3,3,3,3,15,73,9,34,1,11,10,47,6,46,0,0,41,211
354,2255,Y,PN426,I,O,A,3,636,1470,121,3,3,3,3,3,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,3,45,165,8,36,2,8,26,162,10,64,0,0,91,435
355,2256,Y,PN426,I,O,A,3,636,1470,121,3,3,3,3,3,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,3,65,173,10,10,0,0,2,14,0,0,2,2,79,199
356,2264,Y,PN427,I,N,C,4,767,8425,95,4,4,3,3,2,3,3,4,2,2,1,3,1,4,2,2,4,4,2,5,4,79,326,16,43,0,0,34,251,21,120,6,24,156,764
357,2275,Y,PN428,I,N,C,3,215,1503,154,3,3,2,2,1,3,3,3,3,3,3,2,2,3,3,3,3,2,3,3,3,0,0,1,6,0,0,5,27,0,0,0,0,6,33
358,2276,Y,PN428,I,N,C,3,215,1503,154,3,3,2,2,1,3,3,3,3,3,3,2,2,3,3,3,3,2,3,3,3,0,0,2,20,10,53,23,109,0,0,0,0,35,182
359,2284,Y,PN429,I,N,C,15,581,3563,212,4,1,4,4,1,2,3,1,3,2,1,1,2,2,1,2,4,4,1,4,4,73,153,29,87,9,31,56,156,25,144,8,10,200,581
360,2634,Y,PN430,I,N,M,4,110,1105,89,3,3,2,3,2,3,3,3,4,3,3,3,3,3,3,3,3,4,3,4,3,7,23,16,54,2,9,2,10,2,14,0,0,29,110
361,2644,Y,PN431,I,N,M,10,144,1544,148,4,3,3,1,2,4,3,3,1,3,2,3,3,3,3,3,3,2,3,3,3,18,84,5,15,4,20,1,13,2,12,0,0,30,144
362,2744,Y,PN432,I,O,M,2,140,698,112,2,3,2,3,3,3,2,3,2,3,3,3,3,3,3,3,3,4,4,3,4,6,6,17,64,0,0,5,10,9,55,2,5,39,140
363,2754,Y,PN433,I,N,M,3,149,375,95,4,3,3,3,2,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,15,55,0,0,1,2,10,78,0,0,6,14,32,149
364,2764,Y,PN434,I,N,M,4,50,199,56,4,4,4,3,3,3,3,4,5,4,3,3,3,3,3,3,3,3,3,3,4,2,5,4,18,4,14,1,13,0,0,0,0,11,50
365,2774,Y,PN435,I,N,M,4,206,2300,81,3,2,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,4,4,3,14,60,0,0,4,22,11,116,0,0,2,8,31,206
366,2784,Y,PN436,I,N,M,5,98,1187,52,2,3,3,4,2,3,4,3,4,4,4,3,4,3,4,4,4,3,4,3,3,5,5,18,93,0,0,0,0,0,0,0,0,23,98
367,2795,Y,PN437,I,N,C,2,208,740,84,3,3,3,3,2,2,3,3,3,3,4,3,4,4,4,4,3,3,2,3,3,2,8,0,0,0,0,2,20,0,0,0,0,4,28
368,2796,Y,PN437,I,N,C,2,208,740,84,3,3,3,3,2,2,3,3,3,3,4,3,4,4,4,4,3,3,2,3,3,8,32,0,0,0,0,8,80,0,0,0,0,16,112
369,2797,Y,PN437,I,N,C,2,208,740,84,3,3,3,3,2,2,3,3,3,3,4,3,4,4,4,4,3,3,2,3,3,4,16,4,12,0,0,4,40,0,0,0,0,12,68
370,2804,Y,PN438,I,N,M,7,132,1490,120,4,3,2,3,3,3,3,3,2,3,2,3,4,3,3,3,3,2,3,4,3,0,0,8,12,11,29,4,30,0,0,23,61,46,132
371,2814,Y,PN439,I,N,M,3,120,678,160,3,1,3,3,2,3,3,3,3,3,3,3,2,2,3,3,2,3,3,3,3,14,38,7,19,1,2,6,36,4,21,2,4,34,120
372,2844,Y,PN440,I,N,M,3,179,555,100,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,13,30,0,0,1,2,0,0,20,147,0,0,34,179
373,2864,Y,PN441,I,N,M,3,127,784,86,3,2,4,2,3,4,4,4,3,2,3,4,3,3,3,3,3,3,3,3,4,16,47,20,64,0,0,2,14,1,2,0,0,39,127
374,3164,Y,PN442,I,N,M,8,386,4860,116,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,38,72,30,109,6,29,15,95,13,50,0,0,102,355
375,3174,Y,PN443,I,N,N,6,96,1071,60,3,3,4,3,3,5,3,3,3,3,4,4,4,3,4,5,3,3,1,3,5,5,20,12,21,2,10,2,10,7,20,1,1,29,82
376,3184,Y,PN444,I,N,C,12,725,2918,64,3,3,4,3,3,5,4,3,4,4,4,3,2,2,2,3,4,4,2,3,5,58,234,69,100,0,0,23,170,23,153,1,3,174,660
377,4084,Y,PN445,I,N,M,28,1131,10077,83,4,3,4,3,3,3,3,3,3,3,3,2,4,2,3,3,3,5,2,3,4,47,183,19,84,21,154,4,16,47,467,4,4,142,908
378,4094,Y,PN446,I,N,M,6,384,6113,94,3,4,4,3,3,4,2,3,3,3,4,4,3,3,4,2,3,1,3,3,3,22,102,12,77,12,73,7,52,10,53,2,2,65,359
379,4104,Y,PN447,I,N,M,7,123,3150,147,3,3,3,3,3,4,2,3,1,1,3,5,5,4,3,4,1,1,3,3,2,7,36,4,4,4,29,1,2,6,36,0,0,22,107
380,4114,Y,PN448,I,N,M,8,269,3284,90,3,4,2,3,3,3,2,3,3,3,2,4,5,4,3,5,3,1,3,3,3,2,4,9,44,27,122,0,0,12,32,13,42,63,244
381,4124,Y,PN449,I,N,M,39,3375,41643,177,3,3,4,3,3,3,3,3,2,2,2,1,2,4,3,2,2,3,2,3,2,179,1295,92,557,47,321,19,151,70,688,7,27,414,3039
382,4504,Y,PN450,I,M,A,9,712,6460,173,2,3,2,2,3,3,3,3,3,3,1,3,3,2,3,3,3,1,3,3,3,37,370,0,0,0,0,1,10,0,0,75,332,113,712
383,4514,Y,PN451,I,N,C,5,216,3546,219,2,2,2,1,3,3,3,3,3,3,1,3,3,2,3,3,3,1,2,3,3,1,10,0,0,1,7,0,0,0,0,61,199,63,216
384,4554,Y,PN452,I,N,C,10,293,2888,147,2,2,2,3,2,3,3,2,4,4,2,1,3,3,2,2,3,4,3,1,4,5,17,0,0,30,213,8,63,0,0,0,0,43,293
385,4624,Y,PN453,I,N,M,6,442,3772,181,2,3,2,2,1,2,3,3,3,3,3,3,3,3,3,3,3,1,2,3,3,16,83,0,0,4,38,12,86,29,235,0,0,61,442
386,4774,Y,PN454,I,O,M,2,279,1305,78,3,3,4,3,2,3,3,3,4,3,3,3,3,3,4,3,5,2,2,4,3,3,24,0,0,2,10,5,32,23,127,17,86,50,279
387,4784,Y,PN455,I,D,M,2,284,1421,114,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,4,2,2,4,3,43,136,12,32,0,0,29,58,21,53,2,5,107,284
388,4865,Y,PN456,I,D,M,5,404,1035,110,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,1,3,0,0,0,0,0,0,0,0,1,1,2,4
389,4866,Y,PN456,I,D,M,5,404,1035,110,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,116,172,48,48,57,114,8,16,2,10,40,40,271,400
390,4224,AA,PN457,W,N,P,5,138,350,51,3,3,5,3,3,3,3,3,4,4,4,5,5,2,3,4,4,1,3,3,4,10,34,1,3,12,30,1,5,6,34,11,16,41,122
391,4234,AA,PN458,W,N,M,22,550,4300,76,3,3,4,3,3,3,3,3,2,2,3,2,4,3,3,4,4,4,3,3,4,27,100,10,50,14,31,2,20,33,240,1,6,87,447
392,4244,AA,PN459,M,N,N,4,291,887,147,4,2,2,3,3,4,3,4,2,2,3,4,4,2,3,3,2,3,2,3,3,20,77,24,39,8,40,3,21,12,80,0,0,67,257
393,3354,AD,PN460,M,N,C,4,406,565,92,2,3,3,3,3,3,3,3,2,2,3,3,5,3,3,3,3,4,4,3,3,22,74,28,84,1,7,1,7,23,162,0,0,75,334
394,3364,AD,PN461,M,N,C,25,2876,3450,108,4,3,3,3,3,3,3,3,2,2,2,1,5,3,3,3,3,3,4,3,3,150,824,133,474,23,191,1,13,125,915,13,62,445,2479
395,3374,AD,PN462,M,N,C,31,2531,4700,114,4,3,3,3,3,3,3,3,2,2,2,1,4,3,3,3,3,3,4,3,3,215,979,124,265,46,328,3,30,73,604,12,59,473,2265
396,3384,AD,PN463,M,N,C,3,521,386,58,1,3,3,3,3,3,3,3,5,5,3,3,3,3,3,3,4,4,4,3,3,39,87,37,97,10,64,9,28,24,162,2,6,121,444
397,3394,AD,PN464,M,N,C,3,169,399,144,1,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,1,3,1,3,3,20,31,25,59,4,17,6,12,8,27,0,0,63,146
398,1654,Z,PN465,M,N,P,14,1617,3059,102,3,3,4,3,2,3,3,2,3,3,2,2,3,3,3,4,3,4,2,4,3,129,448,92,373,21,148,8,52,54,412,0,0,304,1433
399,1964,Z,PN466,I,N,N,14,376,1740,97,3,3,4,3,3,4,3,4,4,4,4,3,4,3,3,3,2,2,1,3,2,35,114,67,73,8,40,4,28,13,85,0,0,127,340
400,2144,Z,PN467,I,N,M,31,2563,31410,152,3,4,3,3,3,3,3,4,2,2,2,2,1,2,2,2,3,2,4,3,3,99,459,89,308,181,671,33,280,59,539,26,49,487,2306
401,2964,Z,PN468,M,N,P,0,733,1887,62,3,4,4,3,3,3,4,4,2,2,4,2,5,3,3,3,4,3,4,3,4,93,166,39,49,26,129,0,0,43,275,0,0,201,619
402,2974,Z,PN469,W,N,I,12,951,1712,66,3,3,3,3,3,3,4,4,3,3,3,2,4,3,3,3,4,3,4,3,5,75,298,55,208,4,28,5,33,34,251,2,20,175,838
403,3134,Z,PN470,I,N,C,14,546,1979,143,4,4,3,3,3,3,3,3,1,1,2,3,2,3,3,4,3,2,2,3,3,18,72,3,11,9,65,11,36,27,200,12,66,80,450
404,3144,Z,PN471,I,N,N,9,200,519,75,3,3,2,3,3,4,1,3,5,5,4,3,5,3,3,3,3,3,2,3,3,13,46,19,47,4,28,0,0,14,45,3,3,53,169
405,3154,Z,PN472,I,N,C,11,586,2104,56,5,4,3,3,3,3,3,3,3,3,3,3,1,3,5,4,4,4,4,3,4,17,67,9,42,8,47,29,191,22,153,15,18,100,518
406,4664,Z,PN473,I,N,M,8,710,2488,83,4,4,3,3,3,3,3,3,3,3,4,3,4,3,3,4,3,3,1,3,3,64,275,65,160,1,5,5,10,17,170,0,0,152,620
407,4904,Z,PN474,I,N,M,35,2232,16518,114,3,4,3,3,3,3,3,4,2,2,2,1,4,3,3,2,3,3,3,3,3,102,816,89,386,38,134,7,47,48,483,28,130,312,1996
